Judul,Label
tak benar kwik kian gie tinggal dunia,1
jelas jelas manusia pro pki,1
bkd provinsi papua pernah janji jatah terima cpns 2018,0
14 tni selundup tanah arab,1
tangkap tuyul desa karangejo blitar,1
nyata benar tentara cina nyamar,1
susup gpib maranatha bandung,1
lapor polisi hate speech diri sewordcom anggap salah alamat,1
terap sistem ganjil genap tol cikampek,0
perintah asik duduk kursi diskusi bilang,0
the un oic world human rights organization have become blind,1
laku bunuh pulo mas ridwan sitorus alias ius pane tangkap medan,1
fenomena equinox bikin suhu jadi 40 derajat celcius indonesia,1
foto jokowi ukur baju karya desainer ivan gunawan,1
instruksi gubernur dki jakarta tilang yang masker lalu pikobar,1
dukung fanatik jokowi tinggal jalan 15 kilometer,1
breaking news megawati undur diri ketua umum pdip,1
ruslan buton pecat tni tolak tka china,1
geoge floyd tewas tembak,1
kadus hakim warga babak bur akibat bagi sembako corona tepat sasar,1
wapres masalah konser bulan ramadhan malah ikut nonton ikut donasi pahala lebih puasa,1
foto italia gagal sepenuh covid19,1
pesan beranta pt mosi tawar rapid test kit covid19,1
puncak sebar virus corona 4 april hingga 18 april 2020,1
jakarta jadi daerah paling banyak infeksi virus covid19 salah pilih gubernur,1
alkohol bunuh coronavirus covid19,1
foto kabah sepi yang thawaf virus corona,1
air rebus bawang putih sembuh virus corona,1
pelintir judul berita dokter minta wapres maruf amin istirahat,1
nyanyi henny purwonegoro tinggal dunia,1
jembatan darurat bangun waktu 24 jam jepang,1
israel larang nelayan palestina laut,1
maklumat majelis rakyat papua seluruh mahasiswa papua tetap ada kota studi lanjut studi,1
jembatan jalan cemara medan kata roboh,1
orang suporter tinggal laga tirapersikabo vs persija,1
video roboh rumah lantar istri tahu selingkuh suami,1
shoot tv one cuma bhs cina,1
tinggal serda supran sida kait virus cacar monyet,1
jeli perhati jari tangan palsu,1
orang jakarta canggih euy,1
foto spanduk optimis pak jokowi tak bohong ingkar janji,1
istri indro warkop tinggal jadi okok pasif,1
di sahkan undang2 lgbt nikah antar jenis,1
akhir najwa shihab dukung prabowosandi,1
spanduk di pasang cebong,1
demokrat iklan jokowi bioskop ganggu hak konsumen,0
info rekruitmen bumn pt nindya karya,1
mui ajak masyarakat tak ragu vaksin mr,0
bj habibie kata lawan berat pak prabowo bukan jokowi,1
70 tewas serang militer afghanistan masjid,0
ahoker jokwer marah besar di kata pki bangkit,0
iklan lowong kerja hamil istri lurah gorontalo hadiah rp 10 juta,1
bpbd bogor ingat potensi bencana gera tanah 22 camat,1
punya pistol fn sudah berani begini tni,0
ujar benci etnis china mengatasnamakan sultan hamengkubuwono x,0
mastel turut optimal peran stakeholder sektor telematika lawan sebar hoax,0
ormas pas klarifikasi insiden bubar kkr sabuga bandung,1
foto ungsi suriah,1
konsumsi telur rebus tengah malam tangkal covid19,1
video raja bahrain tiba dubai awal robot,1
pesan beranta kantor pusat pt kawan lama tutup salah satu direksi tinggal 10 orang karyawan papar covid19,1
sabam sirait tinggal dunia 17 april 2020,1
tenaga medis china datang bantu tangan covid19 indonesia,1
hujan batu serpih meteor tuju bumi purwakarta,1
gusti kanjeng ratu condrokirono beri izin pengunaan area keraton bukan isu sara,1
jokowi pidato satu menit jadi tertawa orang jepang,1
waktu surat suara coblos tebar,1
pesawat pribadi prabowo larang darat bandara syamsudin noor banjarmasin,1
rakyat tak berontak,1
anggur jual pinggir jalan padang tegal formalin,1
klarifikasi kait video viral pagar masjid istiqlal tutup,0
kak seto isi acara sampoerna academy,0
foto salam jari kapolda sumut paulus waterpauw sama ketua rawan djarotsihar,1
gempa jadi malang selatan,1
the family mca saracen bisnis hoaks rupa tak sama,0
bahaya makan kepala ikan kandung racun ciguatoksin,0
klarifikasi sekjen pbnu soal tolak ustadz abdul somad,1
foto mobil b1uno masuk busway,1
februniye walikota kristen pertama kota mardin mayoritas warga agama islam,0
jokowi naik pajak hasil 10 jadi 15,1
jokowi bantu laos bangun infrastruktur jembatanjembatan indonesia meprihatinkan,0
dokumentasi dinding lap emas freeport,0
foto logo i love israel permen tos,1
ahok izin natal monas larang aji monas,1
gedung jaksa agung bakar lbp minta mutih koruptor,1
lakilaki tengah soekarno jend soerdirman adalah ayahanda habieb risziq shihab,1
video biadab banget laku sama jenazah muslim,1
hari laku rapid test covid19 para santri kudus 1000 santri tak sadar diri,1
ide alquran nusantara sdh mulai realisasi,1
katalog model alexis,1
surat seru siaga 1 majelis ulama indonesia,1
corona wabah gubernur ganjar libur driver grab grobogan akan aju pihak grab beri insetif 200rb per hari,1
video detikdetik tsunami jepang 12 februari 2020,1
warga garut jadi korban begal,1
some say the sound of a whale,1
aa gym angkat bicara kait broadcast sila ucap selamat natal catut nama,1
nata de coco buat plastik bahaya anakanak,1
pabrik narkoba digrebek tasikmalaya semua laku cina,1
aseng mulai pake no seri mobil china,1
mahasiswa uinsu tinggal dunia laksana demo kota medan,1
sri mulyani ingin dana haji rp 90 triliun tutup defisit bpjs,1
apa kyai aku kubu curang,1
derita gila akibat pilpres tingkat tajam sumbar,1
santun celaka jasa raharja naik 100 persen,1
terb0ngkar c1n pk beli semua tanah strategi indonesia,1
austria lahar panas keluar perut bumi,1
tol jakarta cikampek ambruk,1
fb lite di hack,1
munir bunuh nyata prabowo salah,1
megawati soekarnoputri rawat rumah sakit stroke,1
temu mayat orang anak kelas satu sdn pademangan barat 11 mayor,1
nomor porsi haji berangkat tahun 2018 hingga 2030,1
indonesia ku sayang indonesia ku malang,1
pemoge tewas jalur alternatif cikidang,1
gedung tri akan jual,1
sadar wahai rakyat indonesia ini sedang jajah,1
pulau di kabupaten rau jual,1
9 merek balut indonesia sebab kanker,1
modus cabul bius amen angkut kota purwakarta,1
quraish syihab jadi khatib sholat ied masjid istiqlal sepi jamaah,1
anggota polisi gabung jaring radikalisme,1
waspada scam pesan beranta video call whatsapp,0
jenazah siyono utuh arti ybs mati syahid,1
bangun jembatan kolelet lebak banten,1
gambar juang fpi tahun 1940 lawan jajah belanda,1
tangkap layar wapres sebut idul adha tak makna sembelih qurban,1
klaim had pranoto soal covid19,1
status gera si kadrun di henti,1
artikel nyata cium janda 1 menit panjang umur 1 tahun fakta,1
anak 10 tahun tinggal tidak keluar rumah sakit akibat bentur biaya,1
video nasehat alm erma yunita simamora yg tinggal pd tanggal 20042020 rs ar bunda lbk linggau,1
foto hababina rizieq jadi tangan kanan mulia baginda donald trump,1
foto china lapor diamdiam kremasi korban virus corona,1
foto hati2ada bakso tikus,1
korban terkam harimau d jln garuda sakti pekan baru,1
ahok beli tanam plastik 8 m dipake sebentar ganjar nyanyi bareng slank 18 m cuma hari,1
daftar obat larang bpom,1
kemendagri tolak panjang izin fpi,1
perintah tak mampu dana haji tip,1
2014 jokowi di wakil suara rakyat jadi presiden curang,1
ini lambang ikut anut janji dajjal,1
imbau polri kait razia cipta kondisi besarbesaran 11 september 11 oktober 2018,1
fakta dana kampanye jokowi,1
wakapolri pernah beri nyata kait pilkada kota makassar 2018,0
anggar tempat sampah jerman rp 958 m dinas lh dki buka suara,0
arseto pariadji serah diri polisi,0
bisnis gelap balik like facebook,0
menteri uang sri mulyani milik 1200 bitcoin,1
arti saracen pakai sindikat sebar benci,0
indonesia ikut aliansi negara islam saing nato,0
ilc tv one bredel aparat,1
enzim rnase bunuh bakteri makan,1
wearing a mask causes legionnaires disease,1
kutip kim bok dong bunuh aktif china,1
risma sujud idi warga surabaya terima rsud dr soetomo,1
anies sebut solusi banjir tinggal tunggu musim kemarau,1
video jokowi mega naik pitam nyata hasto bongkar sebut ruu hip usul pdip,1
koreksi post empat ton telur bansos pemprov jabar busuk,0
perintah bagi kuota 10gb gratis insentif lawan covid19,1
pakai masker kendara motor mobil denda rp 5 juta kurung penjara minggu,1
who sebut tular corona tak hanya lewat droplet juga udara,1
kota serang laku psbb hitung sejak 23 april 2020,1
video black market italia serah,1
presiden china umum virus corona jadi epidemi mohon umat islam doa china,1
anjing selamat bayi koala bakar,1
anggota banser kudus jawa tengah keroyok sama emakemak jual nasi uduk,1
fpi bukan ancam daulat nkri justru yg tunggang nu yang di sih menhan prabowo subianto,1
video politis brasil lempar sungai,1
jokowi beri tengah kuasa prabowo,1
beberapa foto video letus gunung soputan sulawesi utara,1
ustaz cianjur persekusi bacok,1
menpanrb bantah maju caleg,0
manajemen garuda indonesia tegas ada jual tawar saham usaha china,0
urus sim c massal camat kromengan kabupaten malang,1
kursi gbk rusak parah pasca laga indonesia vs islandia,0
rina nose buang jilbab sebut islam ajar sesat,1
polisi lapor 30 akun sebar hoax girder flyover tol ambruk,0
jelas bpom kait hoax isu kena makan,0
bunga megapuspa mekar puncak jayawijaya papua,1
the habibie center drone emprit breaking the chambers walls,0
tim sari roti sombong tanggap isu boikot,0
ahok minta warga luar batang wakaf tanah plaza,0
kod babi makan,1
penting literasi media,0
kronologis insiden rso 1 palangkaraya,1
foto pangeran saudi sanding pangeran diponorogo,1
antena 5g dalam masker,1
foto siswi bunuh diri tak ikut kelas online,1
gambar presiden jokowi pamit sby pulang solo,1
gambar islam jangan liberal,1
foto singapore banjir kayak gin,1
la gode serang asrama tni,1
video detikdetik pesawat komersial jatuh mukim dekat bandara internasional jinnah karachi pakistan,1
1962 italian magazine described 2022 world would look like,1
15 hari sembuh menhub budi karya nyata positif covid19,1
jack mas advice hopefully we can get through 2020,1
foto anies baswedan makan sama amateur editor editor mula,1
100 gb gratis ulang tahun 21 google,1
pangeran uni emirat arab kabar positif virus corona,1
singapore china komunis benci islam,1
prof taruna ikrar ahok masuk pimpin indonesia perlu observasi otak,1
taman moroseneng mem surabaya,1
muncul himbauan libur tanggal 23 september mengatasnamakan plt gubernur aceh akibat kabut asap karo humas nyata benar,1
jelas fenomena hiu tepi pinggir pantai nusa,1
video siar curang pilpres tv al jazeera,1
yudis konsultan it kpu kendali sistem hitung kpu dukung 02,1
sms bencana akhir tahun keluar bmkg,1
foto prabowo pakai uskup gereja,1
cair wadah main anak rupa pisang kandung narkoba,0
gempa palu bukan sebab erupsi gunung soputan,0
infografis integrasi tarif tol jorr,1
indomaret klarifikasi tayang tv jokowi di protes kader partai demokrat,0
kpu laku voting pilih capres lalu facebook,1
hmi klarifikasi kait isu beri dukung politik partai karya,0
perintah cabut subsidi gas elpiji 3 kilogram bulan juli,1
wakil rektor ii universitas muslim indonesia keroyok mahasiswa,1
breaking news pimpin koruptor muslim tetap masuk syurga,1
soal uji akhir semester sma madrasah aliyah bahas khilafah,1
jendral gatot nyata banser nu ras,1
arun bakal polisi buat info hoax soal bank muamalat,1
mulai tahun depan pdip minta mui babi panggan halal,0
warga bpjs sulit urus berkas 2018,1
bawa langsung lansia rumah lansia atmabrata,0
fatwa haram pasang bendera ri masjid,1
status aman negara siaga satu pasca pilkada dki jakarta,1
gedung putih banjir massa pro ahok tuntut fpi bubar,1
tawan tukang las lengan robot,1
pesan singkat perihal biaya asuransi kirim barang jne nila juta rupiah,1
kutip haedar nashir lebih baik tidak usah dapat bantu apa perintah,1
koplak kompas tv demo tolak hip ga siar gilir demo pdip live,1
jt promo bagibagi handphone,1
insentif virus corona perintah gratis akses internet,1
muara karang jadi ampo serta bunuh orang dagang bakmi,1
jembatan suramadu bebas aktivitas orang kendara,1
tekan cancel kali masuk kartu atm,1
detik2 bapak mistadi terkam harimau sumatera,1
ampo bank bri lhok nibong aceh timur,1
kivlan zein soenarko bebas hari,1
partai golkar aju surat mohon batal hasil pilpres,1
wiranto laku curang peghitungan suara,1
mobil avanza masuk makam sukorejo karena mistis,1
sri mulyani beri klarifikasi kait sajak isi keluarga hilang lion air jt 610,0
tni indonesia langgar batas timor leste,0
korban radiasi hp,1
sindrom siklopia,0
gambar masjid pertama atas kapal induk,1
permen kandung narkoba kasus siswa sd solok,1
sering minum es sebab batuk pilek,0
it kpu tuding curang mati server situs kpu,1
larang takbir dki jakarta,0
april mop hari umat islam bantai,1
us government funded insect spy drone and already in production,1
foto anies baswedan panen padi hijau,1
haram ilmu filsafat,1
foto struk tarif tol tambah tarif tilang jalan tol jombangmojokerto,1
foto all jakarta water park,1
pilpres 2024 batal tunda 2029,1
ghost was exercising after 7 pm,1
fadlizon daulat anies jadi duta germo,1
video lockdown maradona,1
diy jadi daerah contoh new normal,1
5 camat lampung red zone covid19,1
dangerous snack made in israel,1
video cari sensasi biar makin kenal opposite6890,1
anak sd ikut demo kemaren anak stmsma anak sd aja paham kalau negara sedang beres,1
bantah informasi kait seru supporter sepak bola indonesia ikut demo dpr,1
edar namanama menteri jabat tingkat menteri kabinet jilid ii putus jokowi maruf istana bogor,1
gambar karikatur media prancis,1
kpu bantah tuduh server disetting menang jokowi 57 akan lapor bareskrim,0
1 minggu depan padang hati hati waspada gempa 76 sr,1
muncul isu jadi gempa palu 28 desember 2018 bmkg angkat bicara,0
ktp nama selamat idul adha,1
framing asing berita layan turis pasca gempa lombok,1
pesawat citilink qg 801 rute semarangsurabaya hilang,0
surat perintah data tenaga medis non medis rumah sakit tahun 2018,1
tahu kandung pasta gigi kode warna,1
ahok cipta lirik lagu tuhan tidur,1
artikel analisis mulyo wibisono edar,1
mantan presiden ri 3 nobat milik iq tinggi panjang sejarah manusia di sia sia bangsa indonesia,0
tampak ufo langit california amerika serikat,1
kepala sman 3 lamongan aku tulis surat ahok siswi,1
luhut larang anies rombak jabat dki,0
jne bagibagi telepon genggam samsung s7,1
uang rupiah baru bertandatangan menteri uang,0
pernah membully orang,0
cara tanda situs berita palsu,0
edar bendera pki manado,1
naik tarif tol karena jokowi,1
bisnis jual fanpage,0
didik agama islam bahasa arab tiada sekolah madrasah ra mi mts ma,1
pria tinggal jantung kurang oksigen guna masker,1
operasi simpatik 2020 polri,1
akun twitter resmi menteri didik budaya nadimmakarim,1
info kemkes 6 kota zona kuning corona,1
wuhan china orang2 teriak gak karuan,1
same sex marriage procession in a churh,1
dwayne the rock johnson tinggal syuting,1
lpg liquified petroleum gas,0
kas negara kosong,1
klarifikasi bin kait pesan beranta sebut 29 tokoh dukung prabowosandiaga sedang monitor aparat,0
hasil runtuh masjid bukan bangun,1
pegang flyer nama pujiastuti hastasiwi,1
nunggak bpjs tak urus simstnk pihak kait ikan klarifikasi,0
klarifikasi bmkg kait prediksi gempa magnitudo 82 tsunami beberapa daerah jateng,0
narasi surat kabar luar negri kena koran independent observer,1
mana cangkem2 yg suka tereak2 indonesia pancasila,1
bukan hoax fpi ikut buka sama masjidilaqsa,0
klarifikasi rumah sakit umum cut nyak dien meulaboh kait isu keluar dokter spesialis jantung tak gaji,0
informasi biaya tilang baru,1
tuding culik berat belah kasus pt rum kapolres sukoharjo beri klarifikasi,0
zuckerberg ungkap facebook segera rombak,0
amien rais uang korupsi saya terima 600 juta,1
wakil bupati ciamis dukung ahok jakarta guna kaos logo palu arit,1
markas indonesia ajar jadi basecamp anies pilkada dki,1
seluruh mahasiswa pekanbaru duduk gedung dprd riau tuntut perintah reformasi jilid 2,1
arti kata pokemon bahasa syriac arti aku yahudi,0
lowong kerja komisi berantas korupsi indonesia,1
model baru baju batik korpri,1
wapres maruf amin sebut pimpin dosa kalau rakyat lapar,1
info resmi polda diy modus baru tindak kriminal,1
korban virus corona,1
keluarga kena corona tinggal bintaro sektor 2,1
foto gereja bergamo italia hari,1
orang golong darah o lebih rentan infeksi virus corona,1
uk mau shariah kan kaum ungsi suriah,1
surat pemberitahuan angkat pns tes honorer,1
jelas kait isu ahok antasari azhar jadi dewan awas kpk,1
jangan konsumsi bawang telah kupas serap kuman virus udara,1
lady gaga lantun surat adduhaa,1
artis mat solar tinggal dunia,1
irjen pol iza fadri copot kapolda sumsel imbau shalat jamaah,1
muncul video matahari terbit lebih satu klaim jadi pulau riau,0
info rekrutmen cpns 2018,1
anggota mossad israel tangkap kamera cctv sulawesi,1
ormas projo bantah keluar surat aksi kiri super senyap,0
tahun meni suami cerai tsamara garagara pantat hitam,1
politis demokrat sebut rocky gerung dekat gus dur,1
isu imigran guna nama orang indonesia,1
klarifikasi kait kasus rusa kapel santo zakaria ogan ilir,0
polisi buru ormas jadi dalang berita hoaks soal serang ulama,0
foto makam gus dur guna tulis aku tunda,1
perintah ngutang untuk bayar bunga utang,1
info hoax bakar mobil damkar alami celaka tewas 3 anggota madam,0
kak seto didik karakter sepele,1
pria kansas amerika tinggal tembak polisi akibat hoax buat main game call of duty,0
beda netizen jurnalis wartawan,0
bantah hoaks kominfo sebut registrasi sim murni aman,0
mie instan palsu,1
masjid raya daan mogot kh hasyim asyari bentuk salib,1
tekan semua tombol lift jatuh aktif mekanisme selamat,1
giring opini negatif atas kunjung kapolda jabar situs gunung padang jabar,1
hatihati orang iseng tempel sticker pki belakang mobil,1
anak palestina tembak tentara israel jarak dekat,0
muncul bara api yaman,1
foto makam korban ledak beirut,1
situs gurubpcom ini kerja menteri ojol koplak,1
foto ribu mobil impor hangus labuh beirut,1
foto wapres maruf narasi lebih suka jaga kursi pada agama,1
hindar citos byk karyawannya papar covid19 area citos rawan,1
actor javed haider sells vegetables because there is no work due to the pandemic covid19,1
usia 50 atas larang masuk mal hingga makan kafe fase new normal,1
video bagi kerja bangun pltu morowali,1
tuduh foto interior lab darurat covid19 labkesda dki hasil comot,1
akibat salah gaul koalisi ayam doro,1
coret indikasi maling rampok incar rumah,1
peta sebar covid19 wilayah situbondo,1
foto presiden joko widodo wfh,1
foto tampak banjir terjang kawasan ibu kota baru kalimantan,1
foto anies baswedan baca buku pedoman tata kata,1
sempat informasi gudang rendam banjir tokopedia nyata benar,1
foto jokowi pakai kaos tulis aica aibon,1
kecewa kader nu tak jadi menteri agama pbnu doa jokowi kualat,1
video judul inalilahiwainairojiun tinggal dunia bpk wiranto selamat jln bpk wiranto,1
video potong kanker jauh bawang putih dekat emas,1
klarifikasi kait kabar tugas kpps way kanan lampung tewas tikam lerai ribut timses caleg,0
video grace natalie ajak warga makan babi samasama,1
prabowo keluar kalimat rendah kaum miskin indonesia,1
kelompok mahasiswa cipayung plus terima uang bin tidak kritisi dukung jokowi maruf amin,1
kpu bantah informasi sebut kemarin batas akhir kece daftar pilih pilpres 2019,0
dorce bantah tuding ratna sarumpaet transgender,0
di papua indonesia,1
bem ri tegas henti calon jokowi pilpres 2019,1
pesan brimob sweeping ojek online wilayah jakarta selatan,1
lempar alquran mako brimob,1
press statement pt global jet express 25 oktober 2017,1
umat budha indonesia sebut diam lihat keras timpa suku rohingya myanmar,0
tulis ustadz felix siauw habib rizzieq,1
ahok bohong ada unit busway karoseri lokal,1
gambar anak allepo lantar,1
4 bulan lalu hina presiden lebanon nyata turki kirim bantu pertama kali,1
tak punya solusi soal honorer maruf amin guru maklum gaji kecil imbal surga,1
palestina hapus google peta dunia,1
jokowi korupsi 59 triliun tengah wabah corona,1
surat edar walikota palembang soal virus corona,1
49 wn tiongkok masuk sultra nyata orang baru bukan kerja lama,0
bendung walahar mau luap jati luhur mau penuh,1
saking takut virus corona orang cina islam sholat arah mana,1
legenda hello kitty asal gadis derita kanker mulut hello kiity arti bahasa china halo iblis,1
foto orang nenek pukul hingga babak bur curi jagung lapar,1
post ada yogyakarta pasca bentrok prppb,0
papua kini kibar bendera yahudi israel,1
zionis israel tebar virus aids balut wanita,1
kalau beli aqua arti sumbang misionaris kristen,1
foto perempuan indonesia hijab tahun 1700,1
suhu panas kuwait leleh mobil lampu lalulintas,1
aja aksi tajuk puncak aksi akbar besar tuju menang prabowo subianto sandiaga uno,1
baliho cinesia timur sakti tulis bahasa cina bandara haluoleo kendari,0
polisi angkat bicara kait foto kompak tonton acung salam jari millenial road safety festival,0
waspada indikasi nyata pki mulai bangkit,1
masak popcorn ponsel,1
bmkg alat deteksi tsunami selat sunda hilang sejak 2007,0
warga malang heboh soal temu alat kejut anggap bom polisi beri jelas,0
kena ganggu jiwa terlalu banyak ikut les,1
whatsapp hari jadi ke9,1
mca laku trial check server kpud semarang,1
menteri luar negeri klarifikasi ada anakanak wni tahan australia,0
sudirman said sedang sembahyang moga di demo berjilidjilid,0
orang pria dander bojonegoro tinggal akibat guna hp,1
ngeri jembatan suramadu terjang ombak besar,1
impor 5000 senjata api polri,1
zara zettira semua milik akses sistem it kpu legal ilegal sangat pengaruh siapa akan pilih jadi presiden ri 2014,1
minum posisi diri timbul sakit batu ginjal,1
kita suka hoax kabar bohong,0
ratna sarumpaet kalau ahok maju via jalur independen rela tari bugil monas,1
info lowong kerja puskesmas marganada,1
wearing a mask can cause pleurisy,1
video sepeda masuk pantai indah kapuk pakai paspor,1
tinju manny pacman bagibagi hadiah pandemi,1
metrotv aku anies presiden ri,1
foto antek china baru niee minta sumbang kata apbd dki sekarat,1
akibat pandemi covid19 keluarga beberapa hari makan,1
jadi begal jalan bango cilandak,1
italia umum serah,1
tanggal 1012 april aktivitas henti total 3 hari,1
gambar sampul koran tempo gotong royong lawan virus corona,1
proses beras plastik,1
iblis masuk daftar hitam,1
jelas kpk kait edar informasi rekrutmen palsu,1
malam jam 2400 bbm naik tanggal 30 agustus 2019,1
rakyat sederhana lawan bisa,1
buang sajaa,1
aniesdimana asiik nih nies,1
tentara merah rrc pluit jkt,1
keren kan jangan lupa no2,1
dana bantu buku tabung bodong renovasi rumah korban gempa lombok,1
fotofoto mahasiswa aniaya polisi tak liput media ini,1
omong bin masak ngak perhati,1
melintir konteks pidato prabowo rampok tetangga sedang susah,1
laku tilang elektronik lalu pantau cctv perintah kota manado per agustus 2018,1
video salat bahasa indonesia,1
bksda klarifikasi soal tampak harimau sumatra agam sumatra barat,0
klarifikasi pt wijaya karya kait kabar ambruk proyek tol manadobitung,0
foto eticket nama rizieq shihab,1
temu senjata kelompok syiah goa husainiyat,0
foto jokowi sedang berkat pendeta max ebe mistri,1
stiker call center mesin atm rekam pin kuras saldo tabung,1
hujan es tol cipularang,1
judul berita liputan6 cerita megawati pertama kali temu diri nu,1
tangkap gengster jatiwaringin lenteng agung sebut peran polisi,0
sri mulyani indrawati sedih rp400triliun anggar kemendikbud habis hasil capai,1
kominfo blokir 11 situs kandung unsur sara,0
perintah laku apaapa atas bencana asap,1
narasi foto islam nusantara sholat latar belakang salib,1
uang kertas tahun 1954 tulis arab,1
video selasa 2 juni 2020 aksi mahasiswa jakarta tuntut jokowi turun presiden,1
dr ir hj sri nurdiati dekan fmipa ipb banyak tidak tahu rahasia imunitas tubuh,1
program mudik sehat psbb 2020 big bird,1
warga jamu gubernur,1
callserviishomecreditid homecredirpusatbantuan akun instagram official home credit,1
indonesia narapidana bebas di tengah wabah covid19,1
luhut perintah tnipolri tangkap pemda tutup bandara,1
mahasiswa uny positif corona,1
video drone berondong rombong jenderal quds iran qaseem soleimani yg kata awal perang dunia tiga,1
said aqil nama asli i made wiryawan saidi agama hindu asal lombok,1
kominfo bantah punya akun situs porno pornhub,1
aplikasi dana buat china milik nama asli alipay,1
pesan larang kendara plat ad solo jogja,1
keparat aparat,1
cover majalah tempo edisi 16 september 2019 revisi,1
hoaks surat data bangun ibu kota baru catut bppt,1
foto kader perempuan pks guna atribut 2019tambahistri,1
keluarga gusdur dukung penuh calon president 01,1
kemenag bantah edar surat guru madrasah wajib lengkap data,0
tangkap layar post page antaranews hasil sunting,1
kabar mundur ksp moeldoko beri klarifikasi,0
gempa susul bal pukul 0030 wib,1
ratus ton narkoba masuk indonesia biaya teroris,1
isuisu kena media sebar hivaids,0
amat media sosial tak hoax positif,0
gambar dpo palsu gambar rizieq shihab,1
al quran robek sidang ahok,0
pegawai honorer k2 tinggal dunia demo istana,1
harun yahya salah satu pionir hoax umat islam,0
canada is already free from covid19,1
foto maruf amin 5 tahun ngapangapain,1
wanita sedang haid sekalikali jangan laku 4,1
anies sebut dungu warga,1
video remaja kena tiktok syndrome,1
dapur tempat masak nasi anjing bakar,1
pt hebat milik kaesang anak jokowi lalu kemenkop rp200 m utk latih ukm,1
china memang bener jahat kirim baju bundle pakai bekas pakai orang yg mati akibat virus,1
efek kejut ciri khas gubernur angka mayat markup,1
alcoholic drinks can reduce the risk of infection from a coronavirus novel covid19,1
tes sederhana kenal virus corona dalam puluh detik,1
foto robek bakar kencing alquran wanita langsung dapat azab allah,1
air nanas panas sembuh kanker,1
kalau undur diri emang yg sanggup bangun indonesia,1
warga madura potong tangan laku curang coblos 100 surat suara milu 2019,1
artis agnez mo tinggal akibat bunuh,1
taman impi jaya ancol bantah gratis tiket masuk mulai 14 oktober hingga 6 bulan depan,0
beberapa tokoh gereja bekas bantah buat janji sama cawalkot rahmat effendi,0
calon gubernur sulawesi selatan nurdin halid temu komisioner kpud diam diam,1
prabowo bantah tawar rp 15 triliun jadi cawapres jokowi,0
bangun bangun kuliah akademi komunitas negeri kait penting agama tentu,1
ibadah gereja hkbp filadelfia bekas ganggu speaker,0
toyota kadal luncur bulan april 2018,1
tolak radikalisme rizieq shihab usir raja salman arab saudi,1
waspada dokter palsu pki tular hivaids lewat jarum suntik,1
panadol p500 tisu basah keras,1
edit poster acara jakgram tunjuk 3 jari,1
foto bantai bakar umat muslim myanmar tidak mau pindah agama,1
citra shaf sholat padang mundur,1
jokowi hendak minta maaf pkikeluarga pki,1
bendera israel burj khalifa dubai united arab emirates,1
lelang online pt gadai,1
paus jenis nun dampar pantai nunhila,1
megawati anak pungut soekarno,1
survei masyarakat publikasi data bnpt,1
artikel makzulkanjkwbubarkanpdip trending ruu hip tuding ide megawati,1
gubernur kalbar pakai sepatu dalam masjid,1
orang sepeda tinggal monas akibat habis oksigen pakai masker,1
smkn 12 jakut pasang foto presiden jokowi,1
pilkada 2020 sumenep siap gelar,1
beberapa negara buang jenazah pasien covid19 laut,1
jokowi sengaja beda mudik pulang kampung kelabu virus corona,1
pesan beranta cipularang longsor di km118 kanan kiri jalan jalan ancam putus bila longsor lanjut,1
video pasien kabur tangkap security,1
muncul isu putar culi anak polisi sidoarjo paastikan benar,1
mahfud md tidak jemput guru biar saja yang jemput hrs,1
foto laku tusuk wiranto dukun pribadi jokowi,1
tiga bank bumn suntik modal bank muamalat,0
foto proses produksi mobil esemka,1
visa bebas jadi sarana rakyat china datang indonesia cari kerja,1
klarifikasi dinkes kait informasi ramu minyak tanah bisa obat sakit asam urat kolesterol tekan darah tinggi,0
saksi prabowosandi ppk amalatu mati tebas leher putus,1
gerombol wna cina seragam tentara senjata kalimantan utara,1
ini bukti cinta nkri harga mati,1
itu ada kolom agama kosong,1
alat bantu pak de canggih,1
panglima tni salam jari biar cebong bunuh diri,1
aplikasi game talking angela bahaya khusus anakanak,1
bangkai km sinar bangun temu,1
apa yang sebut nkri harga mati,1
heineken bagi bir gratis,1
kk nik bisa pakai orang waspada,1
tahu maluanies baswedan claim megah baru stadion gelora bung karno ide,0
tni polri isu komunisme pki,0
bumi bikini tempat umum selfie,0
rs gatot subroto jkt sdh mulai obat tumor ganas kanker cell cure,1
awan hitam sedot air laut,0
ustadz aa gym pimpin ribu umat bela islam se jawa barat 30 november jakarta,0
foto orang adik suap kakak kondisi sedih,1
kambing lahir anak babi,1
virus baru nama sfts china,1
foto megawati potong tumpeng atas meja logo pki,1
warga jombang jadi korban modus tipu ilmu gendam,1
foto wafat beberapa minggu yg lalu orang tulis wanita kuwait nadiah al jar rahimahallah,1
corona rebak gibran salah rakyat tak patuh atur perintah,1
azan lemah virus corona,1
jokowi anak kandung sulam,1
video serang ratus roket rudal iran basis militer amerika serikat,1
pln bantah minta uang pasang tutup kam box kwh meter listrik,1
bawang merah mampu tangkal racun ular kobra,1
perangkat anti kenal wajah demonstran hong kong,1
video pa jokowi nyawer ni all,1
nyata si adik kecil sudah tinggal,1
rusia sampai minta ilmu strategi perang orang indonesia malah ragu saya,1
dieffebachia tanam hias racun,1
indonesia kirim wakil lgbtgay festival lgbt paris,1
video citilink terbang satu tumpang kertajati surabaya,1
video wahana ekstrim gyro drop lempar putar guna tinggi,1
